casilla_id,anno,CLAVE_CASILLA,CLAVE_ACTA,ID_ESTADO,NOMBRE_ESTADO,ID_DISTRITO,NOMBRE_DISTRITO,SECCION,ID_CASILLA,TIPO_CASILLA,EXT_CONTIGUA,CASILLA,NUM_ACTA_IMPRESO,PAN,PRI,PRD,PVEM,PT,MC,MORENA,PES,RSP,FXM,CI,PAN-PRI-PRD,PAN-PRI,PAN-PRD,PRI-PRD,PVEM-PT-MORENA,PVEM-PT,PVEM-MORENA,PT-MORENA,CANDIDATO/A NO REGISTRADO/A,VOTOS NULOS,TOTAL_VOTOS_CALCULADOS,LISTA_NOMINAL_CASILLA,OBSERVACIONES,MECANISMOS_TRASLADO,FECHA_HORA
DPFED-00011-ba20d251ca384bc68a8e5d82890fa01a,2021,'190359C0300',190359C0300108569,19,NUEVO LEÓN,1,SANTA CATARINA,359,3,C,0,Urbana,2,175,46,0,13,3,77,48,2,1,6,0,0,0,0,0,0,0,0,0,1,19,391,691,Recuento (Para recuento (SRA)),-,09/06/2021 12:06:12
DPFED-00012-0910079e53f34544b0b153557973945e,2021,'190359C0200',190359C0200108568,19,NUEVO LEÓN,1,SANTA CATARINA,359,2,C,0,Urbana,2,181,35,4,8,7,64,54,0,2,6,0,0,0,0,0,0,0,0,0,0,12,373,691,Recuento (Para recuento (SRA)),-,09/06/2021 12:06:34
DPFED-00013-50240f5033ba40989e3142d5113f9dc8,2021,'190359C0100',190359C0100108567,19,NUEVO LEÓN,1,SANTA CATARINA,359,1,C,0,Urbana,2,180,42,0,7,2,66,62,2,2,9,0,0,0,0,0,0,0,0,0,0,9,381,691,Recuento (Para recuento (SRA)),-,09/06/2021 12:06:06
DPFED-00014-9e3ab6906e624ae1a8ec074860950d5d,2021,'190359C0400',190359C0400108570,19,NUEVO LEÓN,1,SANTA CATARINA,359,4,C,0,Urbana,2,169,33,3,4,4,73,54,0,2,7,0,0,0,0,0,0,0,0,0,0,21,370,691,Recuento (Para recuento (SRA)),-,09/06/2021 12:06:46
DPFED-00015-7f54668fea604a6fbba9f2f23cc4a842,2021,'190360B0100',190360B0100109364,19,NUEVO LEÓN,1,SANTA CATARINA,360,1,B,0,Urbana,2,171,50,3,9,7,70,55,7,0,11,0,0,0,0,0,0,0,0,0,0,16,399,745,Cotejo (Levantada en Casilla),-,09/06/2021 10:06:25
DPFED-00016-0d3b367dfcc74dd0b39c1377d51456b2,2021,'190360C0100',190360C0100108571,19,NUEVO LEÓN,1,SANTA CATARINA,360,1,C,0,Urbana,2,207,43,1,10,5,77,49,5,3,7,0,0,0,0,0,0,0,0,0,0,12,419,745,Recuento (Para recuento (SRA)),-,09/06/2021 12:06:51
DPFED-00017-a18b855b2d6b44b391c679e0dd030860,2021,'190360C0200',190360C0200108572,19,NUEVO LEÓN,1,SANTA CATARINA,360,2,C,0,Urbana,2,213,48,4,8,5,74,70,6,1,7,0,0,0,0,0,0,0,0,0,0,6,442,745,Recuento (Para recuento (SRA)),-,09/06/2021 11:06:42
DPFED-00018-e891dd05d1a3417eb6a2ba45dc99c45c,2021,'190361B0100',190361B0100109365,19,NUEVO LEÓN,1,SANTA CATARINA,361,1,B,0,Urbana,2,157,59,4,8,1,49,29,2,0,8,0,0,0,0,0,0,0,0,0,1,12,330,643,Recuento (Para recuento (SRA)),-,09/06/2021 13:06:53
DPFED-00019-bf72658b328041ef933e79588d460074,2021,'190361C0100',190361C0100108573,19,NUEVO LEÓN,1,SANTA CATARINA,361,1,C,0,Urbana,2,148,57,1,6,3,51,33,1,1,2,0,0,0,0,0,0,0,0,0,1,13,317,642,Recuento (Para recuento (SRA)),-,09/06/2021 11:06:19
DPFED-00020-09197d817da1404db8ad93ede98c65ad,2021,'190361C0200',190361C0200108574,19,NUEVO LEÓN,1,SANTA CATARINA,361,2,C,0,Urbana,2,164,37,0,6,4,42,27,1,2,4,0,0,0,0,0,0,0,0,0,0,8,295,642,Recuento (Para recuento (SRA)),-,09/06/2021 13:06:08
DPFED-00021-e58ca32f3895401988f8429bc7b1abdb,2021,'190362B0100',190362B0100109366,19,NUEVO LEÓN,1,SANTA CATARINA,362,1,B,0,Urbana,2,133,28,0,7,4,65,47,4,2,6,0,0,0,0,0,0,0,0,0,0,11,307,504,Recuento (Para recuento (SRA)),-,09/06/2021 12:06:29
DPFED-00022-2491297b92f84f838d82b74eb2ecfc04,2021,'190362C0100',190362C0100108575,19,NUEVO LEÓN,1,SANTA CATARINA,362,1,C,0,Urbana,2,147,20,1,4,8,54,39,1,4,8,0,0,0,0,0,0,0,0,0,0,9,295,504,Recuento (Para recuento (SRA)),-,09/06/2021 12:06:44
DPFED-00023-88a9a6dbf4024c98a4c67497bffe7f33,2021,'190362C0200',190362C0200108576,19,NUEVO LEÓN,1,SANTA CATARINA,362,2,C,0,Urbana,2,145,23,2,8,3,53,35,2,2,8,0,0,0,0,0,0,0,0,0,0,6,287,504,Recuento (Para recuento (SRA)),-,09/06/2021 13:06:20
DPFED-00024-14e05d24624641e582e2098434b627b4,2021,'190363B0100',190363B0100109520,19,NUEVO LEÓN,1,SANTA CATARINA,363,1,B,0,Urbana,2,156,39,1,6,3,51,39,0,0,7,0,0,0,0,0,0,0,0,0,1,13,316,532,Recuento (Para recuento (SRA)),-,09/06/2021 12:06:54
DPFED-00025-3138078b2b7143b28e54c285688c2adc,2021,'190363C0100',190363C0100108577,19,NUEVO LEÓN,1,SANTA CATARINA,363,1,C,0,Urbana,2,141,31,3,8,2,49,42,1,0,3,0,0,0,0,0,0,0,0,0,0,11,291,531,Recuento (Para recuento (SRA)),-,09/06/2021 13:06:59
DPFED-00026-c53ddb6368b2465d948736d328250f7a,2021,'190363C0200',190363C0200110564,19,NUEVO LEÓN,1,SANTA CATARINA,363,2,C,0,Urbana,2,149,22,0,5,2,52,44,1,1,10,0,0,0,0,0,0,0,0,0,0,7,293,531,Recuento (Para recuento (SRA)),-,09/06/2021 15:06:20
DPFED-00027-03d8fee16c4e4a4a86f217d1880845fe,2021,'190364B0100',190364B0100109521,19,NUEVO LEÓN,1,SANTA CATARINA,364,1,B,0,Urbana,2,186,27,2,7,2,71,45,4,0,8,0,0,0,0,0,0,0,0,0,0,10,362,548,Recuento (Para recuento (SRA)),-,09/06/2021 16:06:59
DPFED-00028-bb72dde430db48fca3d877c583139d0b,2021,'190364C0100',190364C0100108983,19,NUEVO LEÓN,1,SANTA CATARINA,364,1,C,0,Urbana,2,178,28,1,7,4,48,58,3,2,1,0,0,0,0,0,0,0,0,0,3,15,348,548,Recuento (Para recuento (SRA)),-,09/06/2021 12:06:03
DPFED-00029-7c201ac2d28348fbaaab3be4590925c4,2021,'190364C0200',190364C0200108984,19,NUEVO LEÓN,1,SANTA CATARINA,364,2,C,0,Urbana,2,173,27,0,3,3,68,47,2,1,4,0,0,0,0,0,0,0,0,0,0,13,341,547,Recuento (Para recuento (SRA)),-,09/06/2021 13:06:04
DPFED-00030-ab9ca605a3b94c1384c4b3fd06fe4571,2021,'190365B0100',190365B0100109522,19,NUEVO LEÓN,1,SANTA CATARINA,365,1,B,0,Urbana,2,148,36,2,2,4,65,48,9,2,4,0,0,0,0,0,0,0,0,0,0,13,333,592,Recuento (Para recuento (SRA)),-,09/06/2021 12:06:57
DPFED-00031-70bef718a8fb4e3c92a68c3c86f5528e,2021,'190365C0100',190365C0100108985,19,NUEVO LEÓN,1,SANTA CATARINA,365,1,C,0,Urbana,2,161,41,2,11,2,66,53,0,1,4,0,0,0,0,0,0,0,0,0,1,6,348,592,Recuento (Para recuento (SRA)),-,09/06/2021 14:06:45
DPFED-00032-f8a0ee95042d43b5a57c4b699aff4124,2021,'190365C0200',190365C0200108986,19,NUEVO LEÓN,1,SANTA CATARINA,365,2,C,0,Urbana,2,168,22,2,11,3,68,48,3,0,8,0,0,0,0,0,0,0,0,0,1,7,341,592,Recuento (Para recuento (SRA)),-,09/06/2021 12:06:20
DPFED-00033-50bc9cafc99147fc854ef1407dd0803c,2021,'190366B0100',190366B0100109523,19,NUEVO LEÓN,1,SANTA CATARINA,366,1,B,0,Urbana,2,111,54,0,7,4,48,44,5,1,7,0,0,0,0,0,0,0,0,0,1,19,301,673,Recuento (Para recuento (SRA)),-,09/06/2021 13:06:17
DPFED-00034-1b98310146194feaa6b2b3137fd46b6c,2021,'190366C0100',190366C0100110565,19,NUEVO LEÓN,1,SANTA CATARINA,366,1,C,0,Urbana,2,104,69,2,12,4,49,39,3,1,5,0,0,0,0,0,0,0,0,0,0,17,305,673,Recuento (Para recuento (SRA)),-,09/06/2021 13:06:03
DPFED-00035-8f75223b6642476ba93b33da9d5c89bc,2021,'190366C0200',190366C0200108987,19,NUEVO LEÓN,1,SANTA CATARINA,366,2,C,0,Urbana,2,119,67,2,11,4,55,35,5,3,4,0,0,0,0,0,0,0,0,0,0,15,320,672,Recuento (Para recuento (SRA)),-,09/06/2021 13:06:26
DPFED-00036-590bfacbee504c8d99078cf2f7dc6a12,2021,'190367B0100',190367B0100109524,19,NUEVO LEÓN,1,SANTA CATARINA,367,1,B,0,Urbana,2,116,39,3,7,2,42,34,1,1,9,0,0,0,0,0,0,0,0,0,1,24,279,557,Recuento (Para recuento (SRA)),-,09/06/2021 13:06:38
DPFED-00037-19791a28a74c44d9838633bca2382dc5,2021,'190367C0100',190367C0100108988,19,NUEVO LEÓN,1,SANTA CATARINA,367,1,C,0,Urbana,2,112,46,1,8,1,45,36,3,2,7,0,0,0,0,0,0,0,0,0,1,10,272,557,Recuento (Para recuento (SRA)),-,09/06/2021 13:06:34
DPFED-00038-3294c44131cc421f83e63789a8c2afd7,2021,'190367C0200',190367C0200108989,19,NUEVO LEÓN,1,SANTA CATARINA,367,2,C,0,Urbana,2,99,37,2,9,3,46,41,2,3,2,0,0,0,0,0,0,0,0,0,1,15,260,556,Recuento (Para recuento (SRA)),-,09/06/2021 14:06:01
DPFED-00039-10ac662b420d4a9981d62728ff2c18cd,2021,'190368B0100',190368B0100109525,19,NUEVO LEÓN,1,SANTA CATARINA,368,1,B,0,Urbana,2,144,36,2,3,4,51,43,0,0,4,0,0,0,0,0,0,0,0,0,0,9,296,529,Recuento (Para recuento (SRA)),-,09/06/2021 13:06:41
DPFED-00040-57badd87190e4a5885cefcf39f7d5583,2021,'190368C0100',190368C0100108990,19,NUEVO LEÓN,1,SANTA CATARINA,368,1,C,0,Urbana,2,158,47,1,7,2,52,35,2,1,3,0,0,0,0,0,0,0,0,0,0,9,317,529,Recuento (Para recuento (SRA)),-,09/06/2021 13:06:15
DPFED-00041-1cb33c2ca78148aa99de66ab25e2f90b,2021,'190368C0200',190368C0200108991,19,NUEVO LEÓN,1,SANTA CATARINA,368,2,C,0,Urbana,2,141,49,1,5,2,72,42,2,1,7,0,0,0,0,0,0,0,0,0,0,14,336,528,Recuento (Para recuento (SRA)),-,09/06/2021 13:06:12
DPFED-00042-57d501575d68439094370f10002ae188,2021,'190369B0100',190369B0100109526,19,NUEVO LEÓN,1,SANTA CATARINA,369,1,B,0,Urbana,2,182,36,2,12,7,65,28,0,1,4,0,0,0,0,0,0,0,0,0,0,21,358,723,Recuento (Para recuento (SRA)),-,09/06/2021 14:06:51
DPFED-00043-78a182e3c7fd493f9cfc76f6df8790f1,2021,'190369C0100',190369C0100108992,19,NUEVO LEÓN,1,SANTA CATARINA,369,1,C,0,Urbana,2,119,58,1,6,4,59,16,4,1,5,0,0,0,0,0,0,0,0,0,1,27,301,722,Recuento (Para recuento (SRA)),-,09/06/2021 14:06:09
DPFED-00044-6ea91972b62a4d418f7f920c244eafc1,2021,'190370B0100',190370B0100109527,19,NUEVO LEÓN,1,SANTA CATARINA,370,1,B,0,Urbana,2,229,40,0,5,1,35,44,0,0,8,0,0,0,0,0,0,0,0,0,0,8,370,650,Recuento (Para recuento (SRA)),-,09/06/2021 18:06:49
DPFED-00045-9416d8a12cae4ca4bed85bc154bb5b37,2021,'190370C0100',190370C0100110566,19,NUEVO LEÓN,1,SANTA CATARINA,370,1,C,0,Urbana,2,196,44,2,3,0,42,28,1,1,7,0,0,0,0,0,0,0,0,0,0,10,334,650,Recuento (Para recuento (SRA)),-,09/06/2021 14:06:31
DPFED-00046-270d490c059b4cb595e70f35450ebe6d,2021,'190370C0200',190370C0200110567,19,NUEVO LEÓN,1,SANTA CATARINA,370,2,C,0,Urbana,2,191,41,4,4,0,46,25,3,0,3,0,0,0,0,0,0,0,0,0,0,12,329,650,Recuento (Para recuento (SRA)),-,09/06/2021 14:06:49
DPFED-00047-7cd0b55442a44798b296245873ade1a2,2021,'190371B0100',190371B0100109528,19,NUEVO LEÓN,1,SANTA CATARINA,371,1,B,0,Urbana,2,285,48,2,4,3,68,27,1,2,8,0,0,0,0,0,0,0,0,0,1,5,454,701,Recuento (Para recuento (SRA)),-,09/06/2021 16:06:26
DPFED-00048-bc6b79e54a72425aaf93e37c8f80c2a9,2021,'190371C0100',190371C0100110568,19,NUEVO LEÓN,1,SANTA CATARINA,371,1,C,0,Urbana,2,295,51,3,6,1,42,30,3,0,2,0,0,0,0,0,0,0,0,0,0,11,444,700,Recuento (Para recuento (SRA)),-,09/06/2021 16:06:56
DPFED-00049-4a1ffd48976b4bab98cf797a57144b46,2021,'190371C0200',190371C0200110569,19,NUEVO LEÓN,1,SANTA CATARINA,371,2,C,0,Urbana,2,318,50,1,8,4,47,41,1,0,3,0,0,0,0,0,0,0,0,0,0,9,482,700,Cotejo (Levantada en Casilla),-,09/06/2021 10:06:08
DPFED-00050-c364d900ef904a0e82caecd04f752a6b,2021,'190372B0100',190372B0100109529,19,NUEVO LEÓN,1,SANTA CATARINA,372,1,B,0,Urbana,2,193,28,1,2,0,56,30,1,0,6,0,0,0,0,0,0,0,0,0,0,8,325,512,Recuento (Para recuento (SRA)),-,09/06/2021 15:06:55
DPFED-00051-2204a43c8c83491d9a4bf088769c4e12,2021,'190372C0100',190372C0100109368,19,NUEVO LEÓN,1,SANTA CATARINA,372,1,C,0,Urbana,2,170,32,0,5,0,53,33,2,0,4,0,0,0,0,0,0,0,0,0,0,5,304,511,Recuento (Para recuento (SRA)),-,09/06/2021 14:06:53
DPFED-00052-4f712b71ad46491baeb7cd58e3c49f40,2021,'190372C0200',190372C0200108381,19,NUEVO LEÓN,1,SANTA CATARINA,372,2,C,0,Urbana,2,186,32,0,2,3,45,30,2,0,4,0,0,0,0,0,0,0,0,0,0,7,311,511,Recuento (Para recuento (SRA)),-,09/06/2021 15:06:29
DPFED-00053-f134a2e924d446589fff013f7bf61125,2021,'190373B0100',190373B0100109530,19,NUEVO LEÓN,1,SANTA CATARINA,373,1,B,0,Urbana,2,216,47,1,11,2,60,44,1,0,4,0,0,0,0,0,0,0,0,0,0,14,400,651,Cotejo (Levantada en Casilla),-,09/06/2021 10:06:37
DPFED-00054-9774fa602f194b1fa3d787328912a5c0,2021,'190373C0100',190373C0100109369,19,NUEVO LEÓN,1,SANTA CATARINA,373,1,C,0,Urbana,2,191,49,1,6,1,48,43,3,1,4,0,0,0,0,0,0,0,0,0,0,10,357,651,Recuento (Para recuento (SRA)),-,09/06/2021 15:06:50
DPFED-00055-19d54130a7b14c998af020dfde5aec21,2021,'190373C0200',190373C0200109370,19,NUEVO LEÓN,1,SANTA CATARINA,373,2,C,0,Urbana,2,182,52,3,10,3,54,51,0,0,4,0,0,0,0,0,0,0,0,0,0,12,371,650,Cotejo (Levantada en Casilla),-,09/06/2021 10:06:07
DPFED-00056-68e2b8a91af244d7b94be65491be36f8,2021,'190374B0100',190374B0100109531,19,NUEVO LEÓN,1,SANTA CATARINA,374,1,B,0,Urbana,2,186,56,2,4,3,65,49,1,0,7,0,0,0,0,0,0,0,0,0,0,10,383,632,Recuento (Para recuento (SRA)),-,09/06/2021 15:06:26
DPFED-00057-db37d8d27fd4408b944ab84e127fc2a0,2021,'190374C0100',190374C0100108382,19,NUEVO LEÓN,1,SANTA CATARINA,374,1,C,0,Urbana,2,152,60,3,9,0,65,32,2,0,5,0,0,0,0,0,0,0,0,0,0,14,342,632,Cotejo (Levantada en Casilla),-,09/06/2021 10:06:31
DPFED-00058-4d44175114f04264955bfb3750d8e190,2021,'190374C0200',190374C0200108383,19,NUEVO LEÓN,1,SANTA CATARINA,374,2,C,0,Urbana,2,192,63,1,4,3,62,30,1,2,3,0,0,0,0,0,0,0,0,0,0,9,370,631,Recuento (Para recuento (SRA)),-,09/06/2021 16:06:53
DPFED-00059-23d6fccff7b842ec9684d7dac784f52f,2021,'190375B0100',190375B0100109532,19,NUEVO LEÓN,1,SANTA CATARINA,375,1,B,0,Urbana,2,200,51,2,2,1,37,26,1,0,3,0,0,0,0,0,0,0,0,0,0,11,334,534,Recuento (Para recuento (SRA)),-,09/06/2021 16:06:05
DPFED-00060-3332e2c0de9446cea30da54f78f1f611,2021,'190375C0100',190375C0100108384,19,NUEVO LEÓN,1,SANTA CATARINA,375,1,C,0,Urbana,2,170,43,1,4,0,31,31,2,1,1,0,0,0,0,0,0,0,0,0,0,6,290,534,Cotejo (Levantada en Casilla),-,09/06/2021 10:06:09
DPFED-00061-1dbdd1cb500542108464b872e25c653a,2021,'190375C0200',190375C0200109371,19,NUEVO LEÓN,1,SANTA CATARINA,375,2,C,0,Urbana,2,184,29,0,6,4,33,37,0,1,4,0,0,0,0,0,0,0,0,0,0,11,309,533,Recuento (Para recuento (SRA)),-,09/06/2021 17:06:03
DPFED-00062-60d6c22240b04591a4cfff158c2032c2,2021,'190376B0100',190376B0100109533,19,NUEVO LEÓN,1,SANTA CATARINA,376,1,B,0,Urbana,2,152,33,1,7,4,48,42,1,0,5,0,0,0,0,0,0,0,0,0,0,11,304,479,Cotejo (Levantada en Casilla),-,09/06/2021 10:06:33
DPFED-00063-6cd7aa3ae233451ca542e70c33fe4d3d,2021,'190376C0100',190376C0100109372,19,NUEVO LEÓN,1,SANTA CATARINA,376,1,C,0,Urbana,2,152,31,2,3,2,56,29,1,1,3,0,0,0,0,0,0,0,0,0,1,6,287,479,Recuento (Para recuento (SRA)),-,09/06/2021 15:06:39
DPFED-00064-e6865c74212c41a5aba4e735590e4ec8,2021,'190377B0100',190377B0100109534,19,NUEVO LEÓN,1,SANTA CATARINA,377,1,B,0,Urbana,2,228,61,0,5,3,55,34,4,0,4,0,0,0,0,0,0,0,0,0,0,12,406,655,Recuento (Para recuento (SRA)),-,09/06/2021 18:06:46
DPFED-00065-0a3b4ae503ae4f79839071ca2ce3643f,2021,'190377C0100',190377C0100109373,19,NUEVO LEÓN,1,SANTA CATARINA,377,1,C,0,Urbana,2,233,53,0,5,4,70,36,1,3,3,0,0,0,0,0,0,0,0,0,0,6,414,654,Cotejo (Levantada en Casilla),-,09/06/2021 10:06:43
DPFED-00066-466f6f695c8246a5bdfec0bdb6a43fb1,2021,'190378B0100',190378B0100109535,19,NUEVO LEÓN,1,SANTA CATARINA,378,1,B,0,Urbana,2,300,67,2,4,1,49,27,1,1,4,0,0,0,0,0,0,0,0,0,0,9,465,684,Recuento (Para recuento (SRA)),-,09/06/2021 16:06:52
DPFED-00067-deeebaf7d2634d58a24b7536caeea4a2,2021,'190378C0100',190378C0100109367,19,NUEVO LEÓN,1,SANTA CATARINA,378,1,C,0,Urbana,2,312,51,2,5,0,63,28,1,0,3,0,0,0,0,0,0,0,0,0,0,8,473,684,Recuento (Para recuento (SRA)),-,09/06/2021 16:06:08
DPFED-00068-e17322f75da045dfa162b82b448cc9d4,2021,'190379B0100',190379B0100109536,19,NUEVO LEÓN,1,SANTA CATARINA,379,1,B,0,Urbana,2,215,61,2,3,3,41,21,2,0,5,0,0,0,0,0,0,0,0,0,0,4,357,473,Recuento (Para recuento (SRA)),-,09/06/2021 17:06:13
DPFED-00069-51ae9c7005e3449b9a8a11aeb02aeab2,2021,'190379C0100',190379C0100105616,19,NUEVO LEÓN,1,SANTA CATARINA,379,1,C,0,Urbana,2,213,42,1,3,2,37,29,2,0,4,0,0,0,0,0,0,0,0,0,0,6,339,472,Cotejo (Levantada en Casilla),-,09/06/2021 10:06:10
DPFED-00070-52f215e6b0004833b80a60bfe5e0d42d,2021,'190380B0100',190380B0100109537,19,NUEVO LEÓN,1,SANTA CATARINA,380,1,B,0,Urbana,2,316,54,2,3,2,38,19,0,0,5,0,0,0,0,0,0,0,0,0,0,7,446,617,Cotejo (Levantada en Casilla),-,09/06/2021 10:06:24
DPFED-00071-76176d1f9bd941219c4e232c9f5c53ea,2021,'190380C0100',190380C0100109590,19,NUEVO LEÓN,1,SANTA CATARINA,380,1,C,0,Urbana,2,332,47,1,1,0,40,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434,616,Recuento (Para recuento (SRA)),-,09/06/2021 18:06:04
DPFED-00072-387fdeef3db34588960a97d4da09c853,2021,'190380C0200',190380C0200109591,19,NUEVO LEÓN,1,SANTA CATARINA,380,2,C,0,Urbana,2,299,67,0,4,2,44,23,0,1,2,0,0,0,0,0,0,0,0,0,1,7,450,616,Recuento (Para recuento (SRA)),-,09/06/2021 16:06:14
DPFED-00073-20f4bcd1bb024ed4abf48767a436c7e1,2021,'190381B0100',190381B0100109538,19,NUEVO LEÓN,1,SANTA CATARINA,381,1,B,0,Urbana,2,160,37,0,2,1,37,11,1,1,0,0,0,0,0,0,0,0,0,0,0,1,251,392,Recuento (Para recuento (SRA)),-,09/06/2021 16:06:19
DPFED-00074-e71bd0b11f60490f9fa4a00265a08fb3,2021,'190381C0100',190381C0100109194,19,NUEVO LEÓN,1,SANTA CATARINA,381,1,C,0,Urbana,2,179,30,2,2,0,32,7,2,0,2,0,0,0,0,0,0,0,0,0,0,4,260,391,Recuento (Para recuento (SRA)),-,09/06/2021 16:06:54
DPFED-00075-dae6eae96c0f401ab1278ae6fb8abebc,2021,'190382B0100',190382B0100109539,19,NUEVO LEÓN,1,SANTA CATARINA,382,1,B,0,Urbana,2,342,45,0,2,0,14,9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,414,521,Cotejo (Levantada en Casilla),-,09/06/2021 10:06:45
DPFED-00076-58d626c5966b4739bda7841ea899d941,2021,'190382C0200',190382C0200110584,19,NUEVO LEÓN,1,SANTA CATARINA,382,2,C,0,Urbana,2,332,39,0,3,0,19,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,400,521,Recuento (Para recuento (SRA)),-,09/06/2021 18:06:30
DPFED-00077-52d6a5ecdc654138821f45064c99ece0,2021,'190382C0100',190382C0100110583,19,NUEVO LEÓN,1,SANTA CATARINA,382,1,C,0,Urbana,2,306,54,1,1,0,31,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,400,521,Recuento (Para recuento (SRA)),-,09/06/2021 17:06:41
DPFED-00078-9308a45ead764740b4af79779a305b46,2021,'190383B0100',190383B0100109540,19,NUEVO LEÓN,1,SANTA CATARINA,383,1,B,0,Urbana,2,293,45,0,1,2,26,15,0,0,3,0,0,0,0,0,0,0,0,0,0,2,387,522,Cotejo (Levantada en Casilla),-,09/06/2021 10:06:39
DPFED-00079-10217eca985d46fd988d72014e7e8d99,2021,'190383C0100',190383C0100109195,19,NUEVO LEÓN,1,SANTA CATARINA,383,1,C,0,Urbana,2,300,50,4,1,0,35,12,1,0,1,0,0,0,0,0,0,0,0,0,0,3,407,521,Recuento (Para recuento (SRA)),-,09/06/2021 19:06:51
DPFED-00080-88984dc58a46466bbc1fb1a15c887db2,2021,'190384B0100',190384B0100109541,19,NUEVO LEÓN,1,SANTA CATARINA,384,1,B,0,Urbana,2,440,60,1,1,2,33,8,0,0,1,0,0,0,0,0,0,0,0,0,1,3,550,689,Cotejo (Levantada en Casilla),-,09/06/2021 10:06:27
